time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-31T12:25:50.791Z,61.381,-149.4407,26.6,2.7,ml,,,,0.7,ak,ak20306594,2018-10-31T13:13:50.040Z,"16km SSE of Knik-Fairview, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-31T12:12:43.572Z,63.5433,-147.7324,4.8,1.9,ml,,,,0.67,ak,ak20306584,2018-10-31T12:24:43.290Z,"63km ENE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-10-31T12:04:32.550Z,33.993,-116.993,14.23,0.96,ml,31,62,0.143,0.13,ci,ci37409394,2018-10-31T19:17:28.170Z,"6km E of Calimesa, CA",earthquake,0.2,0.54,0.115,21,reviewed,ci,ci
2018-10-31T12:01:45.151Z,56.6388,-154.3832,70.1,1.7,ml,,,,0.89,ak,ak20306459,2018-10-31T12:08:08.055Z,"103km SSW of Larsen Bay, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-10-31T12:00:18.290Z,33.5126667,-116.7923333,3.78,0.57,ml,22,48,0.006704,0.17,ci,ci37409378,2018-10-31T13:39:55.943Z,"10km NE of Aguanga, CA",earthquake,0.26,0.8,0.143,14,reviewed,ci,ci
2018-10-31T11:49:11.841Z,61.6569,-150.8578,55.9,1.2,ml,,,,0.75,ak,ak20306454,2018-10-31T11:55:44.496Z,"44km WSW of Willow, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-31T11:47:49.270Z,48.6571666666667,-123.2835,21.48,1.45,ml,16,61,,0.26,uw,uw61501732,2018-10-31T15:43:39.480Z,"23km NW of Friday Harbor, Washington",earthquake,0.55,0.87,0.235145729328244,10,reviewed,uw,uw
2018-10-31T11:44:44.710Z,33.5028333,-116.7995,2.85,1.73,ml,65,31,0.009538,0.2,ci,ci37409370,2018-10-31T13:40:44.080Z,"9km NE of Aguanga, CA",earthquake,0.17,0.55,0.117,25,reviewed,ci,ci
2018-10-31T11:43:45.850Z,38.8348351,-122.8284988,0.8,0.78,md,10,91,0.006621,0.04,nc,nc73104211,2018-10-31T12:00:03.196Z,"9km NW of The Geysers, CA",earthquake,0.28,0.6,,1,automatic,nc,nc
2018-10-31T11:41:56.880Z,37.471,20.5752,10,4.4,mb,,103,2.077,0.84,us,us2000i4jp,2018-10-31T12:05:19.040Z,"35km SW of Lithakia, Greece",earthquake,3.2,1.9,0.139,15,reviewed,us,us
